Time ,Acceleration Feet/sec/sec,Altitude Feet,Range Feet
 0.000000, 0.000000, 0.000000, 0.000000
 0.071250,735.161000, 0.594000, 0.000000
 0.142500,746.241000, 4.213000, 0.000000
 0.213750,756.713000,11.459000,-0.000000
 0.285000,764.691000,22.382000,-0.003000
 0.356250,771.948000,37.025000,-0.013000
 0.427500,776.702000,55.423000,-0.040000
 0.498750,780.819000,77.601000,-0.090000
 0.570000,780.955000,103.579000,-0.165000
 0.641250,780.896000,133.362000,-0.263000
 0.712500,770.907000,166.941000,-0.378000
 0.783750,759.437000,204.268000,-0.513000
 0.855000,743.995000,245.284000,-0.670000
 0.926250,728.301000,289.913000,-0.847000
 0.997500,714.817000,338.076000,-1.043000
 1.068750,700.212000,389.703000,-1.260000
 1.140000,683.409000,444.720000,-1.496000
 1.211250,664.330000,503.041000,-1.752000
 1.282500,638.743000,564.566000,-2.026000
 1.353750,611.784000,629.169000,-2.319000
 1.425000,581.822000,696.710000,-2.629000
 1.496250,551.498000,767.039000,-2.957000
 1.567500,502.306000,839.987000,-3.300000
 1.638750,451.658000,915.316000,-3.659000
 1.710000,403.739000,992.773000,-4.031000
 1.781250,355.854000,1072.112000,-4.417000
 1.852500,308.197000,1153.091000,-4.813000
 1.923750,264.537000,1235.468000,-5.220000
 1.995000,226.454000,1319.024000,-5.636000
 2.066250,191.582000,1403.565000,-6.060000
 2.137500,160.178000,1488.914000,-6.492000
 2.208750,131.237000,1574.911000,-6.930000
 2.280000,104.407000,1661.411000,-7.373000
 2.351250,71.455000,1748.275000,-7.822000
 2.422500,29.317000,1835.334000,-8.274000
 2.493750, 9.112000,1922.376000,-8.729000
 2.565000,44.604000,2009.208000,-9.186000
 2.636250,76.822000,2095.649000,-9.643000
 2.707500,106.443000,2181.536000,-10.100000
 2.778750,141.021000,2266.716000,-10.555000
 2.850000,181.129000,2351.014000,-11.008000
 2.921250,206.335000,2434.230000,-11.456000
 2.992500,218.997000,2516.237000,-11.900000
 3.063750,221.975000,2596.970000,-12.338000
 3.135000,216.844000,2676.416000,-12.770000
 3.206250,210.561000,2754.598000,-13.197000
 3.277500,203.510000,2831.548000,-13.618000
 3.348750,195.299000,2907.303000,-14.034000
 3.420000,186.641000,2981.905000,-14.444000
 3.491250,183.209000,3055.394000,-14.850000
 3.562500,183.796000,3127.790000,-15.250000
 3.633750,177.919000,3199.093000,-15.645000
 3.705000,172.313000,3269.326000,-16.035000
 3.776250,166.950000,3338.522000,-16.420000
 3.847500,161.814000,3406.709000,-16.800000
 3.918750,156.892000,3473.911000,-17.176000
 3.990000,152.173000,3540.154000,-17.547000
 4.061250,147.645000,3605.463000,-17.913000
 4.132500,143.299000,3669.859000,-18.275000
 4.203750,139.124000,3733.365000,-18.634000
 4.275000,135.112000,3796.003000,-18.988000
 4.346250,131.255000,3857.792000,-19.338000
 4.417500,127.543000,3918.752000,-19.684000
 4.488750,123.971000,3978.902000,-20.027000
 4.560000,120.531000,4038.260000,-20.365000
 4.631250,117.217000,4096.844000,-20.701000
 4.702500,114.023000,4154.670000,-21.032000
 4.773750,110.942000,4211.755000,-21.361000
 4.845000,107.971000,4268.114000,-21.686000
 4.916250,105.102000,4323.762000,-22.008000
 4.987500,102.333000,4378.714000,-22.326000
 5.058750,99.657000,4432.984000,-22.642000
 5.130000,97.072000,4486.585000,-22.954000
 5.201250,94.573000,4539.531000,-23.264000
 5.272500,92.156000,4591.834000,-23.570000
